iso,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
MNG,73194,73888,73883,73112,71588,69380,66631,63600,60537,57612,54938,52557,50453,48648,47233,46329,46053,46431,47452,49083,51307,54089,57290,60722,64203,67532,70530,73097,75146,76600,77396,77522,77097
MNE,10927,10812,10671,10516,10354,10183,10002,9808,9602,9390,9181,8983,8804,8650,8523,8425,8358,8313,8282,8257,8228,8182,8115,8026,7917,7798,7681,7579,7503,7451,7422,7405,7390
MAR,765010,757191,748763,740708,733373,726456,719175,710702,700673,689375,677528,666123,656178,648453,643270,640566,639900,640520,641876,643855,646897,651727,658690,667641,677942,688369,697438,703952,707137,706756,703065,696817,689326
MOZ,568734,571901,576184,582400,591029,602411,616584,632994,651060,670438,690828,711980,733614,755376,776878,797690,817471,836176,853838,870483,886193,901140,915679,930179,944919,960176,976150,992874,1010363,1028662,1047811,1067802,1088469
MMR,1203856,1190899,1176052,1160703,1145953,1133031,1122935,1115886,1111898,1110990,1113241,1118537,1125888,1134011,1141707,1147331,1149280,1146806,1139592,1127624,1111178,1090964,1068575,1045663,1023442,1003242,986111,972216,961504,953959,949199,946514,944870
NAM,48690,49756,50837,51893,52893,53806,54611,55301,55868,56298,56550,56576,56392,56048,55617,55216,54981,55010,55364,56067,57113,58454,59973,61551,63107,64566,65871,67011,67978,68758,69342,69741,69997
NPL,681765,692046,702225,712255,722048,731743,741548,751319,760647,768957,775255,778444,777902,773370,764929,752922,737997,721318,704025,686910,670642,655605,641731,628981,617517,607380,598477,590568,583472,577150,571808,567753,565043
NLD,180794,183224,185685,188093,190313,192178,193551,194438,194893,194979,194891,194889,195146,195727,196579,197476,198094,198138,197428,195949,193807,191213,188486,185892,183560,181535,179767,178139,176582,175129,173873,172938,172397
NZL,52621,53598,54646,55686,56642,57419,57938,58193,58203,57994,57607,57102,56576,56128,55832,55799,56127,56809,57788,58992,60281,61481,62444,63066,63308,63177,62741,62143,61515,60924,60434,60078,59840
NIC,152322,152170,151802,151333,150815,150224,149485,148514,147277,145817,144200,142516,140876,139381,138100,137099,136412,136001,135815,135822,135984,136258,136584,136903,137160,137313,137335,137231,136999,136625,136086,135362,134468
